user_id,items_count,steam_id,item_id,item_name,playtime_forever,publisher,genres,app_name,title,release_date,tags,reviews_url,specs,price,early_access,developer,user_url_y,funny,posted,recommend,sentiment_analysis,release_year
76561198079601835,0.0,7.656119807960184e+16,2630.0,Call of Duty 2,75.0,"Activision, Aspyr (Mac)",['Action'],Call of Duty® 2,Call of Duty® 2,2005-10-25,"['Action', 'FPS', 'World War II', 'Multiplayer', 'Singleplayer', 'Shooter', 'Classic', 'War', 'Historical', 'First-Person', 'Atmospheric', 'Co-op', 'Military', 'Story Rich', 'Zombies', 'Strategy', 'Adventure']",http://steamcommunity.com/app/2630/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",19.99,False,"Infinity Ward,Aspyr (Mac)",,,"Posted January 17, 2014.",True,1,2005
jorellpogi,71.0,7.656119810369624e+16,3900.0,Sid Meier's Civilization IV,338.0,2K Games,['Strategy'],Sid Meier's Civilization® IV,Sid Meier's Civilization® IV,2005-10-25,"['Strategy', 'Turn-Based Strategy', 'Turn-Based', '4X', 'Historical', 'Multiplayer', 'Singleplayer', 'Moddable', 'Grand Strategy', 'Classic', 'Replay Value', 'Simulation', 'Great Soundtrack', 'Resource Management', 'Economy', 'War', 'Tactical']",http://steamcommunity.com/app/3900/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Includes level editor']",19.99,False,Firaxis Games,http://steamcommunity.com/id/sulide,39 people found this review funny,Posted April 20.,True,2,2005
76561198064823719,55.0,7.656119806482371e+16,3920.0,Sid Meier's Pirates!,2.0,2K Games,['RPG'],Sid Meier's Pirates!,Sid Meier's Pirates!,2005-07-11,"['Pirates', 'Open World', 'RPG', 'Adventure', 'Naval', 'Singleplayer', 'Historical', 'Sailing', 'Sandbox', 'Economy', 'Strategy', 'Remake', 'Classic', 'Action', 'Exploration', 'Trading', 'Atmospheric', 'Fighting', 'Choose Your Own Adventure', 'Difficult']",http://steamcommunity.com/app/3920/reviews/?browsefilter=mostrecent&p=1,['Single-player'],9.99,False,Firaxis Games,http://steamcommunity.com/id/isoduo,405 people found this review funny,"Posted April 15, 2015.",True,0,2005
76561198089393905,103.0,7.65611980893939e+16,6910.0,Deus Ex: Game of the Year Edition,2685.0,Square Enix,['Action'],Deus Ex: Game of the Year Edition,Deus Ex: Game of the Year Edition,2000-06-22,"['Cyberpunk', 'RPG', 'Stealth', 'Classic', 'FPS', 'Sci-fi', 'Action', 'Cult Classic', 'Singleplayer', 'Dystopian', 'Inventory Management', 'Story Rich', 'Great Soundtrack', 'First-Person', 'Moddable', 'Atmospheric', 'Conspiracy', 'Shooter', 'Action RPG', 'Adventure']",http://steamcommunity.com/app/6910/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",6.99,False,Ion Storm,http://steamcommunity.com/id/Dylbugs,,"Posted March 1, 2014.",True,1,2000
76561198156664158,59.0,7.656119815666416e+16,7670.0,BioShock,633.0,2K Games,"['Action', 'RPG']",BioShock™,BioShock™,2007-08-21,"['FPS', 'Atmospheric', 'Action', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'RPG', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']",http://steamcommunity.com/app/7670/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Partial Controller Support']",19.99,False,"2K Boston,2K Australia",http://steamcommunity.com/profiles/76561198083347489,,"Posted December 13, 2014.",True,2,2007
76561198077246154,174.0,7.656119807724616e+16,409710.0,BioShock Remastered,0.0,"2K, Feral Interactive (Mac)","['Action', 'RPG']",BioShock™ Remastered,BioShock™ Remastered,2016-09-15,"['Action', 'FPS', 'Story Rich', 'Horror', 'Atmospheric', 'Singleplayer', 'Shooter', 'First-Person', 'RPG', 'Sci-fi', 'Dystopian', 'Underwater', 'Adventure', 'Great Soundtrack', 'Remake', 'Alternate History', 'Classic', 'Dark', 'Steampunk', 'Choices Matter']",http://steamcommunity.com/app/409710/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Commentary available']",19.99,False,"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)",http://steamcommunity.com/id/bbcfbmnnhndgfghkdjjfd,,Posted September 18.,True,2,2016
76561198070234207,33.0,7.65611980702342e+16,220.0,Half-Life 2,696.0,Valve,['Action'],Half-Life 2,Half-Life 2,2004-11-16,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Classic', 'Story Rich', 'Shooter', 'Adventure', 'First-Person', 'Dystopian', 'Atmospheric', 'Zombies', 'Aliens', 'Great Soundtrack', 'Silent Protagonist', 'Physics', 'Multiplayer', 'Horror', 'Moddable', 'Puzzle']",http://steamcommunity.com/app/220/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Includes Source SDK']",9.99,False,Valve,http://steamcommunity.com/profiles/76561198070565427,,"Posted March 9, 2012.",True,2,2004
WeiEDKrSat,28.0,7.656119804166016e+16,320.0,Half-Life 2: Deathmatch,0.0,Valve,['Action'],Half-Life 2: Deathmatch,Half-Life 2: Deathmatch,2004-11-01,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Sci-fi', 'First-Person', 'Physics', 'Competitive', 'Funny', 'Co-op', 'Adventure', 'Atmospheric']",http://steamcommunity.com/app/320/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'Valve Anti-Cheat enabled', 'Includes Source SDK']",4.99,False,Valve,http://steamcommunity.com/profiles/76561198085107826,,"Posted January 18, 2013.",True,2,2004
thequeenpanda,524.0,7.656119801080371e+16,340.0,Half-Life 2: Lost Coast,37.0,Valve,['Action'],Half-Life 2: Lost Coast,Half-Life 2: Lost Coast,2005-10-27,"['FPS', 'Action', 'Singleplayer', 'Sci-fi', 'Short', 'First-Person', 'Shooter', 'Aliens', 'Dystopian', 'Adventure', 'Futuristic', 'Benchmark', 'Atmospheric', 'Classic', 'Free to Play', 'Multiplayer', 'Silent Protagonist', 'Great Soundtrack', 'Post-apocalyptic']",http://steamcommunity.com/app/340/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Commentary available']",9.99,False,Valve,http://steamcommunity.com/id/djcharles02,,"Posted March 21, 2015.",True,0,2005
death-hunter,121.0,7.656119801855627e+16,360.0,Half-Life Deathmatch: Source,0.0,Valve,['Action'],Half-Life Deathmatch: Source,Half-Life Deathmatch: Source,2006-05-01,"['Action', 'FPS', 'Multiplayer', 'Sci-fi', 'Shooter', 'First-Person', 'Classic', 'Remake']",http://steamcommunity.com/app/360/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'Valve Anti-Cheat enabled']",9.99,False,Valve,http://steamcommunity.com/id/DrSparkle,,"Posted December 1, 2013.",True,2,2006
turneddreamsintoanempire,96.0,7.656119812283754e+16,380.0,Half-Life 2: Episode One,168.0,Valve,['Action'],Half-Life 2: Episode One,Half-Life 2: Episode One,2006-06-01,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'First-Person', 'Story Rich', 'Shooter', 'Classic', 'Adventure', 'Dystopian', 'Aliens', 'Zombies', 'Episodic', 'Atmospheric', 'Short', 'Great Soundtrack', 'Silent Protagonist', 'Puzzle', 'Cinematic', 'Moddable']",http://steamcommunity.com/app/380/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Includes Source SDK', 'Commentary available']",7.99,False,Valve,http://steamcommunity.com/id/calii,,"Posted January 27, 2011.",True,2,2006
DJKamBer,152.0,7.656119802603933e+16,400.0,Portal,173.0,Valve,['Action'],Portal,Portal,2007-10-10,"['Puzzle', 'First-Person', 'Singleplayer', 'Sci-fi', 'Comedy', 'Female Protagonist', 'Action', 'Funny', 'Platformer', 'Story Rich', 'FPS', 'Physics', 'Short', 'Classic', 'Science', 'Adventure', 'Atmospheric', 'Dark Humor', 'Great Soundtrack', 'Strategy']",http://steamcommunity.com/app/400/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Includes level editor', 'Includes Source SDK', 'Commentary available']",9.99,False,Valve,http://steamcommunity.com/id/ARZARNAR,,"Posted July 31, 2015.",True,2,2007
76561198030389591,12.0,7.656119803038958e+16,420.0,Half-Life 2: Episode Two,323.0,Valve,['Action'],Half-Life 2: Episode Two,Half-Life 2: Episode Two,2007-10-10,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'First-Person', 'Story Rich', 'Classic', 'Adventure', 'Aliens', 'Atmospheric', 'Zombies', 'Great Soundtrack', 'Silent Protagonist', 'Dystopian', 'Post-apocalyptic', 'Puzzle', 'Episodic', 'Horror', 'Multiplayer']",http://steamcommunity.com/app/420/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Includes Source SDK', 'Commentary available']",7.99,False,Valve,http://steamcommunity.com/profiles/76561197996741396,,"Posted January 27, 2011.",True,1,2007
76561198043472122,88.0,7.656119804347213e+16,11450.0,Overlord,0.0,Codemasters,['RPG'],Overlord™,Overlord™,2007-06-26,"['RPG', 'Villain Protagonist', 'Third Person', 'Action', 'Comedy', 'Fantasy', 'Adventure', 'Funny', 'Singleplayer', 'Dark Humor', 'Action-Adventure', 'Strategy', 'Action RPG', 'Atmospheric', 'Puzzle', 'RTS', 'Open World', 'Hack and Slash', 'Multiplayer', 'Story Rich']",http://steamcommunity.com/app/11450/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Partial Controller Support']",4.99,False,"Triumph Studios,Virtual Programming",http://steamcommunity.com/id/nicaoooo,,"Posted May 9, 2015.",True,1,2007
MarbleShrine,185.0,7.656119806257093e+16,7940.0,Call of Duty 4: Modern Warfare,1185.0,"Activision, Aspyr (Mac)",['Action'],Call of Duty® 4: Modern Warfare®,Call of Duty® 4: Modern Warfare®,2007-11-12,"['FPS', 'Action', 'Multiplayer', 'Shooter', 'First-Person', 'Classic', 'Singleplayer', 'Military', 'War', 'PvP', 'Linear', 'Great Soundtrack', 'Modern', 'Story Rich', 'Co-op', 'Atmospheric', 'Moddable', 'Competitive', 'Controller', 'Zombies']",http://steamcommunity.com/app/7940/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",19.99,False,"Infinity Ward,Aspyr (Mac)",http://steamcommunity.com/id/BBBirb,,"Posted December 28, 2013.",True,2,2007
fdcfelipefdc,43.0,7.656119807609611e+16,4700.0,Medieval II: Total War,477.0,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",['Strategy'],Medieval II: Total War™,Medieval II: Total War™,2006-11-15,"['Strategy', 'Medieval', 'Historical', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'War', 'Tactical', 'Singleplayer', 'Multiplayer', 'Moddable', 'Turn-Based', 'Military', 'Real Time Tactics', 'Classic', 'Simulation', 'Action', 'Great Soundtrack', 'Sandbox', '4X']",http://steamcommunity.com/app/4700/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Trading Cards']",19.99,False,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",http://steamcommunity.com/id/420Blz,3 people found this review funny,Posted September 12.,True,1,2006
hellom8o,0.0,7.656119811722232e+16,12900.0,Audiosurf,115.0,sindato,['Indie'],AudioSurf,AudioSurf,2008-02-15,"['Music', 'Rhythm', 'Indie', 'Casual', 'Music-Based Procedural Generation', 'Colorful', 'Arcade', 'Singleplayer', 'Relaxing', 'Score Attack', 'Local Co-Op', 'Procedural Generation', 'Puzzle', 'Replay Value', 'Great Soundtrack', 'Local Multiplayer', 'Fast-Paced', 'Racing', 'Co-op', 'Action']",http://steamcommunity.com/app/12900/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Co-op', 'Steam Achievements', 'Full controller support']",9.99,False,Dylan Fitterer,http://steamcommunity.com/id/Mantrouminati,,"Posted September 15, 2013.",True,2,2008
bbaekhyun,77.0,7.656119806684971e+16,13250.0,Unreal Gold,0.0,"Epic Games, Inc.",['Action'],Unreal Gold,Unreal Gold,1998-04-30,"['Classic', 'FPS', 'Action', 'Great Soundtrack', 'Sci-fi', 'Atmospheric', 'First-Person', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Female Protagonist', 'Adventure', 'Fast-Paced', 'Co-op', 'Nudity', 'Horror']",http://steamcommunity.com/app/13250/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",9.99,False,"Epic Games, Inc.",http://steamcommunity.com/id/DJPayg,,"Posted October 9, 2015.",True,2,1998
PPanther,62.0,7.656119802615755e+16,15700.0,Oddworld: Abe's Oddysee,28.0,Oddworld Inhabitants,['Adventure'],Oddworld: Abe's Oddysee®,Oddworld: Abe's Oddysee®,1997-12-12,"['Platformer', 'Adventure', 'Classic', 'Puzzle', '2D', 'Singleplayer', 'Cult Classic', 'Dark', 'Funny', 'Comedy', 'Retro', 'Cinematic', 'Atmospheric', 'Difficult', 'Puzzle-Platformer', 'Action', 'Fantasy']",http://steamcommunity.com/app/15700/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Trading Cards']",2.99,False,Oddworld Inhabitants,http://steamcommunity.com/id/GUN5_0N_WH33L5,,"Posted December 28, 2011.",True,2,1997
ABSOLUTLY_NOTHING,196.0,7.656119805328998e+16,15710.0,Oddworld: Abe's Exoddus,0.0,Oddworld Inhabitants,['Adventure'],Oddworld: Abe's Exoddus®,Oddworld: Abe's Exoddus®,1998-11-17,"['Adventure', 'Platformer', '2D', 'Puzzle', 'Classic', 'Singleplayer', 'Cult Classic', 'Comedy', 'Funny', 'Dark', 'Retro', 'Action', ""1990's"", 'Puzzle-Platformer', 'Stealth']",http://steamcommunity.com/app/15710/reviews/?browsefilter=mostrecent&p=1,['Single-player'],2.99,False,Oddworld Inhabitants,,,"Posted July 11, 2011.",True,2,1998
devvonst,68.0,7.65611980623801e+16,17330.0,Crysis Warhead,31.0,Electronic Arts,['Action'],Crysis Warhead®,Crysis Warhead®,2008-09-17,"['Action', 'FPS', 'Sci-fi', 'Shooter', 'Singleplayer', 'Aliens', 'Military', 'First-Person', 'Multiplayer', 'Benchmark', 'Stealth', 'Adventure', 'Open World', 'Futuristic']",http://steamcommunity.com/app/17330/reviews/?browsefilter=mostrecent&p=1,['Single-player'],19.99,False,Crytek,http://steamcommunity.com/profiles/76561198048809840,,"Posted June 20, 2015.",True,1,2008
starkillershadow553,0.0,7.656119805964858e+16,22000.0,World of Goo,195.0,2D BOY,['Indie'],World of Goo,World of Goo,2008-10-13,"['Puzzle', 'Indie', 'Physics', 'Singleplayer', 'Great Soundtrack', 'Casual', '2D', 'Comedy', 'Cute', 'Building', 'Atmospheric', 'Funny', 'Satire', 'Touch-Friendly', 'Strategy', 'Classic', 'Surreal', 'Story Rich', 'Difficult', 'Family Friendly']",http://steamcommunity.com/app/22000/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements']",9.99,False,2D BOY,http://steamcommunity.com/profiles/76561198065109854,14 people found this review funny,"Posted October 28, 2014.",True,2,2008
76561198058373434,49.0,7.656119805837344e+16,500.0,Left 4 Dead,513.0,Valve,['Action'],Left 4 Dead,Left 4 Dead,2008-11-17,"['Zombies', 'Co-op', 'FPS', 'Action', 'Multiplayer', 'Shooter', 'Online Co-Op', 'Team-Based', 'First-Person', 'Horror', 'Survival', 'Post-apocalyptic', 'Singleplayer', 'Atmospheric', 'Adventure', 'Tactical', 'Competitive', 'Moddable', 'Female Protagonist', 'Replay Value']",http://steamcommunity.com/app/500/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes Source SDK', 'Commentary available']",19.99,False,Valve,http://steamcommunity.com/profiles/76561198074561346,,"Posted February 26, 2014.",True,2,2008
76561198048353577,95.0,7.656119804835358e+16,4560.0,Company of Heroes,1061.0,SEGA,"['Action', 'Strategy']",Company of Heroes - Legacy Edition,Company of Heroes - Legacy Edition,2006-09-11,"['Strategy', 'World War II', 'RTS', 'Multiplayer', 'Action', 'Military', 'Tactical', 'Singleplayer', 'War', 'Base Building', 'Historical', 'Tanks', 'Moddable', 'Co-op', 'Simulation', 'Classic', 'Violent', 'Team-Based', 'Adventure', 'Real-Time with Pause']",http://steamcommunity.com/app/4560/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",19.99,False,Relic Entertainment,http://steamcommunity.com/profiles/76561197990772718,,"Posted September 23, 2013.",True,2,2006
76561198072190369,32.0,7.656119807219037e+16,17460.0,Mass Effect,1613.0,Electronic Arts,"['Action', 'RPG']",Mass Effect,Mass Effect,2008-05-28,"['RPG', 'Sci-fi', 'Story Rich', 'Action', 'Third-Person Shooter', 'Singleplayer', 'Space', 'Great Soundtrack', 'Third Person', 'Choices Matter', 'Female Protagonist', 'Shooter', 'Adventure', 'Real-Time with Pause', 'Open World', 'Character Customization', 'Atmospheric', 'Romance', 'Action RPG', 'Dark Fantasy']",http://steamcommunity.com/app/17460/reviews/?browsefilter=mostrecent&p=1,['Single-player'],19.99,False,BioWare,http://steamcommunity.com/id/saltymotherfucker,,Posted April 26.,True,2,2008
76561198066046412,48.0,7.656119806604642e+16,10500.0,Empire: Total War,186.0,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",['Strategy'],Empire: Total War™,Empire: Total War™,2009-03-03,"['Strategy', 'Historical', 'Military', 'Grand Strategy', 'Turn-Based Strategy', 'War', 'Tactical', 'RTS', 'Multiplayer', 'Singleplayer', 'Turn-Based', 'America', 'Naval', 'Great Soundtrack', 'Action', 'Turn-Based Tactics', 'Real Time Tactics', 'Atmospheric', 'Adventure', 'Classic']",http://steamcommunity.com/app/10500/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Stats']",19.99,False,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",http://steamcommunity.com/profiles/76561198067938749,,"Posted November 27, 2013.",True,2,2009
tru_mu_,62.0,7.656119807125088e+16,24740.0,Burnout Paradise: The Ultimate Box,0.0,Electronic Arts,['Racing'],Burnout Paradise: The Ultimate Box,Burnout Paradise: The Ultimate Box,2009-02-03,"['Racing', 'Open World', 'Multiplayer', 'Destruction', 'Great Soundtrack', 'Driving', 'Singleplayer', 'Arcade', 'Exploration', 'Sandbox', 'Action', 'Co-op', 'Controller', 'Sports', 'Fast-Paced', '3D Vision', 'Third Person', 'Funny', 'Online Co-Op', 'Simulation']",http://steamcommunity.com/app/24740/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player']",19.99,False,Criterion Games,http://steamcommunity.com/id/AlmightyShippo,,"Posted July 16, 2013.",True,2,2009
wirlom,50.0,7.656119809628515e+16,22200.0,Zeno Clash,271.0,ACE Team,"['Action', 'Indie']",Zeno Clash,Zeno Clash,2009-04-21,"['Action', 'Indie', 'Surreal', ""Beat 'em up"", 'FPS', 'Fighting', 'First-Person', 'Short', 'Singleplayer', 'Adventure', 'Fantasy', 'Atmospheric', 'Story Rich']",http://steamcommunity.com/app/22200/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,ACE Team,http://steamcommunity.com/id/js41637,,"Posted July 15, 2011.",True,2,2009
